Name,Label,Comment,NonImportant,portion,service,environment,price,food_quality
網路客棧,台式,感覺還不錯~裡面禁菸~要抽菸要去外面~包廂也不錯~下次還會再來玩~,0,0,0,3,0,0
網路客棧,台式,"又髒又臭，客人全是品行超差的大老爺們，上廁所不洗手，上大號不沖水,而且蟑螂螞蟻多，食物放久了會生螞蟻",0,0,0,1,0,0
網路客棧,台式,禁菸區菸味太重！排煙風扇要開阿！,0,0,0,2,0,0
網路客棧,台式,淋浴是我在嘉義睡過的網咖中最乾淨的，而且還提供看起來貴貴的沐浴乳、洗髮乳，各兩款自行選擇。,0,0,0,5,0,0
NU PASTA (嘉義新民店),歐美,匈牙利海鮮焗飯還ok算好吃(雖然裡面有薄片杏包菇)，青醬不推薦完全不香又比較稀，濃湯也味道太清淡，有點小失望，飲料還ok紅茶蠻香，胚芽奶也真的又胚芽真材實料，但這個要喝全糖不能微糖不然天然的胚芽味道有點重唷，整個場所芳香劑味道真的太重鼻子一直過敏,0,0,0,0,0,4
NU PASTA (嘉義新民店),歐美,食物還ok不錯吃，但空氣環境不是很好…廁所芳香劑的味道在店裡都聞到了，雖然店名不大但這應該要改善！天氣有點炎熱通風卻不太良好，邊吃有點邊流汗😅 …,0,0,0,2,0,3
NU PASTA (嘉義新民店),歐美,停車方便，餐點表現時好時壞。,0,0,0,4,0,3
豪哥豆花,甜點,"店員於送餐時手指頭就泡在豆漿裡了，不太衛生。豆花味道普通，但相較其他知名豆花店較好停車，人潮也較少
豆漿豆花（2種配料）：40元/碗",0,0,2,4,0,3
豪哥豆花,甜點,7/21晚上來外帶，想說上個廁所，結果女廁超級髒（不願意形容...）。完全沒胃口了。,0,0,0,1,0,0
噴水雞肉飯 (嘉義小雅店),台式,"進去自己找位置找到後點單，
外觀氣派大方、環境雖然空間大
但是地板衛生紙筷子套到處都是讓人感覺髒亂！很多客人不方便掃沒錯但是可以用夾子夾或用手撿起來！ …",0,0,0,2,0,0
噴水雞肉飯 (嘉義小雅店),台式,裝潢很五星級，店前兩隻石獅顯得氣派宏偉，還有一盆百萬植栽，突顯尊榮，連廁所都很典雅，沒有一般小吃店油油髒髒的感覺，內還有vip室與景觀用餐區，很有日式風格，主打的肉片雞肉飯更是好吃美味，有時還會看見老闆在幫忙內場，菜色多樣可供挑選,0,0,0,0,0,0
噴水雞肉飯 (嘉義小雅店),台式,"對面有停車場
裡面有包廂
兩種火雞肉飯都要點
喜歡吃肥肉的要點紅糟肉",0,0,0,4,0,0
噴水雞肉飯 (嘉義小雅店),台式,口味不錯，停車方便，用餐環境不錯。還有扭蛋機是哪招？,0,0,0,4,0,3
方程式早午餐,台式,開車的人不方便，室外座位區會有蚊子，波蘿油單點品份量偏小，飲品單點價格再嘉義偏高，嘉義區少數設有低消的早午餐,0,2,0,2,2,0
築間幸福鍋物 (嘉義忠孝店),台式,"第一次吃築間是台南的府前店
因為印象實在是太好了
上網爬了文決定捨棄大雅店 …",0,0,0,0,0,0
林家火雞肉飯X麻油雞飯,台式,"111/11
火雞肉飯好吃，有經過的朋友可以前往試試，門口停車較不便利，店內有冷藏櫥窗，可以直接挑選需要的小菜。",0,0,0,0,0,0
林家火雞肉飯X麻油雞飯,台式,"中午跑去吃完名店郭家，實在覺得不好吃，環境衛生也不ok,氣到😠！晚上路過林家想說再給火雞肉飯一個機會，這家也太好吃了吧！而且環境衛生！真的不用迷信名店，不過這種事觀光客是不會了解的。 …",0,0,0,4,0,5
