Name,Label,Comment,NonImportant,portion,service,environment,price,food_quality
定食8 (嘉義家樂福店),日式,飯 味增湯 高麗菜ㄙ 吃到飽，麥茶喝到飽，餐點180以上,0,0,0,0,0,0
定食8 (嘉義家樂福店),日式,"剛剛foodpanda外送兩個便當
菜都不錯 但米心沒熟 還硬硬的
你買了一個便當 結果飯不能吃 …",0,0,0,0,0,0
定食8 (嘉義家樂福店),日式,"吃飽應該是很難
價格有點高
就當作是吃個感覺或是氣氛的吧",0,0,0,0,0,0
網路客棧,台式,"卡啦雞腿堡 45元 只有漢堡跟雞腿 其它都沒有
漢堡的麵包還烤焦也不會換掉 看了就不想吃麵包 只吃雞腿還有 我有備註我點的東西要加辣
結果東西都沒加辣 如果不看備註 乾脆不要用 …",0,0,0,0,0,0
網路客棧,台式,"又髒又臭，客人全是品行超差的大老爺們，上廁所不洗手，上大號不沖水,而且蟑螂螞蟻多，食物放久了會生螞蟻",0,0,0,0,0,0
網路客棧,台式,電腦螢幕大，速度跑起來也順，餐點也可以呀，愛吃甚就點甚，服務員態度也很好。,0,0,0,0,0,0
高關紅豆餅 (嘉義家樂福),甜點,嘉基的紅豆餅難吃又很貴，1個25，其他的紅豆餅也才7元而已，不建議您去買,0,0,0,0,0,0
高關紅豆餅 (嘉義家樂福),甜點,紅豆餅餡多好吃，咬一口會爆漿，店員態度親切認真👍會再回購 …,0,0,0,0,0,0
三商巧福 (4439嘉義三店),台式,紅燒排骨肉好像變少了一半，肉又很硬，記得以前排骨肉香又嫩很好吃，今天去吃超失望滴,0,0,0,0,0,0
三商巧福 (4439嘉義三店),台式,難吃、難吃、難吃………,0,0,0,0,0,0
魚池新語 (嘉義興業店),飲料,"買了一杯冬瓜青茶回家喝發現味道怪怪的
打電話去詢問問題都沒聽清楚
直接跟我說他們沒泡錯飲料 …",0,0,0,0,0,0
魚池新語 (嘉義興業店),飲料,喝得出茶類品質 非普通敷衍的飲料店,0,0,0,0,0,0
魚池新語 (嘉義興業店),飲料,下午一點左右去買一杯古坑柳橙綠 喝一口想說怎麼酸酸的 以為壞了 等老婆跟小孩睡午覺起床叫老婆喝一口 老婆也說怪怪的不可能會酸的 傍晚去店家詢問 店家說這是正常的 我回說以前不會為什麼現在會呢？ 店家回覆說以前是用柳橙現在是用香吉士 本人在意的是為什麼更換水果在購買時沒告知 為什麼還是叫柳橙綠呢？ 本人不喝酸的東西 因為大熱天買了一杯想說可以解渴 結果還跑去另外一家買過其他的飲料,0,0,0,0,0,0
小時鮮果茶飲/現切水果現打果汁,健康餐,"偶然經過的飲料店（查評價雖然少但評分很高），就去試買，飲料種類非常多，人員也很熱心～買完喝還會問甜度可不可以～
買了一杯木瓜牛奶60、鳳梨牛奶70，都做半糖，甜度不會死甜，味道也很濃郁，鳳梨牛奶喝起來酸酸甜甜很適合夏天～
整體價格對得起地點及飲料，是之後有機會會再回訪的飲料店。",0,0,0,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,"三色布丁豆花就圖文不符啊！明明菜單是白色的布丁，竟然用仙草充當布丁給我，沒料了難道不會說一聲嗎？這樣不誠實很糟糕。

況且我另一碗已經點了滿滿的仙草了⋯⋯是要我吃多少仙草啊？ …",0,0,0,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,看到這個量，整個大傻眼，真心不騙.....太失望,0,0,0,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,"便宜實惠 味道也好
不過新的活益乳酸多 不推薦外帶與吃慢的人
融化後會有白白的牛奶沉澱物 視覺上比較不好 …",0,0,0,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,"冰品極度好吃
🌟金色好時代🌟
可可粉加上焦糖花生冰磚 …",0,0,0,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,"說了什麼要加什麼不加 結果都做錯 難吃 淦
甜到靠背
想踩雷的 就來買吧",0,0,0,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,雖然蠻容易出包的 店家至少態度不錯  但品質真的不太OK,0,0,0,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,紅豆湯圓小碗又難吃，算我運氣差，以後不會再吃這一家。,0,0,0,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,這裡的冰大碗又好吃  不過缺點是有時候會吃到比較偏酸的芒果  覺得有點失望  希望能有更多改變  生意才有轉機  否則弱肉強食的時機  時間到了就差不多了,0,0,0,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,"剉冰多料四處掉、價格稍貴＼
建議把碗公用寬些免得浪費食物因為沒甚麼料在掉就吃不了多少",0,0,0,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,還不錯吃  冰都挫到蠻大碗的  一整個消暑,0,0,0,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,炎熱的夏天來吃個冰，很舒服。,0,0,0,0,0,0
NU PASTA (嘉義新民店),歐美,水水的醬汁裡躺著義大利麵，青醬雞肉吃起來竟然微酸，蝦子在撥殼當下竟斷成兩截，壓一下就爛了，太不新鮮了！,0,0,0,0,0,0
NU PASTA (嘉義新民店),歐美,"之前經常帶小朋友去享受, 但工作人員好像經常換,  一開始覺得口感還不錯, 可能味覺膩了, 覺得還好,  也可能一直以來菜色都一直沒有變化, 也都是一條龍的方式 , 所以價格上普通, 但再去的意願卻降很多很多, 也可能位置的擺設有點擠, 停車的大問題, 還有最近有觀察到, 人真的變少了, 也可能是疫情的關係,  偶爾吃, 可能味蕾較不會消失, 不然一成不變的東西很難持久",0,0,0,0,0,0
NU PASTA (嘉義新民店),歐美,匈牙利海鮮焗飯還ok算好吃(雖然裡面有薄片杏包菇)，青醬不推薦完全不香又比較稀，濃湯也味道太清淡，有點小失望，飲料還ok紅茶蠻香，胚芽奶也真的又胚芽真材實料，但這個要喝全糖不能微糖不然天然的胚芽味道有點重唷，整個場所芳香劑味道真的太重鼻子一直過敏,0,0,0,0,0,0
NU PASTA (嘉義新民店),歐美,"義大利麵還能做成湯麵？真是增長見聞：)
對不起他的價格
沒吃過比這家難吃的義大利麵。",0,0,0,0,0,0
NU PASTA (嘉義新民店),歐美,濃湯很淡，紅茶很澀，匈牙利義大利麵味道普通,0,0,0,0,0,0
NU PASTA (嘉義新民店),歐美,點海陸出一堆培根點綴幾片花枝，如果喜歡吃培根可以點海陸喔！培根多到你不要不要的，培根餐新明店是您最佳選擇。,0,0,0,0,0,0
NU PASTA (嘉義新民店),歐美,性價比不錯，安靜乾淨，服務適中，選擇多樣化的義大利麵簡餐。,0,0,0,0,0,0
NU PASTA (嘉義新民店),歐美,很不錯唷！還有熊貓外送呢,0,0,0,0,0,0
NU PASTA (嘉義新民店),歐美,餐點普通，座位略顯擁擠,0,0,0,0,0,0
NU PASTA (嘉義新民店),歐美,普通沒特色，份量沒很多！,0,0,0,0,0,0
呆灣郎,飲料,"❌粉圓普普 ⭕️都喝無糖麥茶
固定來買很多次了，服務很好",0,0,0,0,0,0
呆灣郎,飲料,"價格偏高
冬瓜牛奶很淡像放了很多水
去知更鳥35元就可以喝到很好喝又大杯的冬瓜牛奶
今天第一次嘗試，以後不會再訪。",0,0,0,0,0,0
