Name,Label,Comment,NonImportant,portion,service,environment,price,food_quality
三商巧福 (4439嘉義三店),台式,市區大潤發、仁愛路跟家樂福都吃過，但覺得家樂福份量給最多，速度也快，服務都很好，不會因為人多就不耐煩，還會貼心問你需要多付碗嗎~值得加分的員工👍 …,0,5,5,0,0,0.0
三商巧福 (4439嘉義三店),台式,紅燒排骨肉好像變少了一半，肉又很硬，記得以前排骨肉香又嫩很好吃，今天去吃超失望滴,0,2,0,0,0,2.0
大碗公冰·甜品 (嘉義興業店),甜點,太扯了，份量都只有一半，紅豆湯喝起來粉粉的，謝謝，再聯絡,0,2,0,0,0,2.0
大碗公冰·甜品 (嘉義興業店),甜點,看到這個量，整個大傻眼，真心不騙.....太失望,0,1,0,0,0,0.0
大碗公冰·甜品 (嘉義興業店),甜點,種類變少，份量變少，料變少，價錢不變，店家都沒發現客人變少了嗎？,0,2,0,0,3,0.0
NU PASTA (嘉義新民店),歐美,義大利麵白醬偏水，不過仍然有飽足感，冰茶不錯喝，沒有烤布蕾，換成冰淇淋了,0,3,0,0,0,3.0
NU PASTA (嘉義新民店),歐美,"出餐速度稍久
這次點的白醬菇菇雞肉義大利麵
就149元的價位而言 雞肉份量蠻多的
只是白醬吃到最後很膩  比較不推白醬",0,4,2,0,0,0.0
NU PASTA (嘉義新民店),歐美,很幫的義大利麵店，從南吃到北這家可以排前面，不論餐點份量，空間，和服務人員都很讚,0,4,4,4,0,4.0
NU PASTA (嘉義新民店),歐美,味道、份量都還不錯！😊 …,0,3,0,0,0,3.0
NU PASTA (嘉義新民店),歐美,跟在台南吃的感覺不一樣，焗飯換筆管麵又雙倍起司189元，結果筆管麵份量少起司也完全沒感覺雙倍，原本這樣的份量可以跟我小一的兒子一起吃，所幸我有叫兒童餐給他，不然這一份筆管麵我都覺得吃不飽了……加價的份量有待改善!,0,2,0,0,0,0.0
NU PASTA (嘉義新民店),歐美,吃的是精緻和場所  麵量稍嫌少,0,2,0,0,0,0.0
NU PASTA (嘉義新民店),歐美,普通沒特色，份量沒很多！,0,3,0,0,0,3.0
呆灣郎,飲料,"飲料好好喝👍超級推薦粉圓系列(｡˃ ᵕ ˂ )b
啊～沒喝過講多少都沒用，大家趕快咻揪來喝！！！(๑˃̵ᴗ˂̵)و
推薦推薦～ …",0,0,0,0,0,4.0
元生補湯,台式,很久沒去吃，發現換了菜單，少了以前的套餐組合有點可惜，價位已經不如以前的平價了，份量比以前略少一點，但餐點一樣好吃,0,2,0,0,3,4.0
元生補湯,台式,味道很不錯，只是份量對男生而言較少。,0,2,0,0,0,3.0
三味蚵仔煎,台式,好吃的小吃...餐點份量滿多的，也有特殊餐點,0,4,0,0,0,4.0
三味蚵仔煎,台式,開餐廳的還怕人吃？虱目魚湯魚縮小到二口就沒了！一魚賣3碗湯！真沒良心！這樣騙一次！沒下次了！,0,1,0,0,0,0.0
豪哥豆花,甜點,"店面裝潢很氣派
可惜份量成反比
餐點口味算正常",0,2,0,4,0,3.0
豪哥豆花,甜點,"外帶的份量...好少  裝豆花的紙盒...粉小
是還不錯吃",0,2,0,0,0,3.0
豪哥豆花,甜點,外帶的碗小到我進門被我家吉娃娃看到撲上來就是狂咬,0,2,0,0,0,0.0
噴水雞肉飯 (嘉義小雅店),台式,好吃，但是雞肉飯飯量偏少，反而小菜類份量比北部有誠意，人很多不好找位置，對面有店家停車場，附近路邊也好停車,0,2,0,4,0,4.0
