Name,Label,Comment,NonImportant,portion,service,environment,price,food_quality
網路客棧,台式,內裝環境不是那麼新穎 但餐點還不錯吃  有供過夜的雙人包廂 可能是因為櫃台沒留證件  晚上會遇到警察臨檢  回應店家:我沒有怪你們的意思 但是睡一半被叫起來真的不舒服,0,0,0,3,0,3.0
高關紅豆餅 (嘉義家樂福),甜點,雖然25元，但是乾淨衛生👍餡料很多，而且還可以幫你現做，現做大約10分鐘，但假日人多的話需要15分左右～ …,0,4,0,4,0,0.0
三商巧福 (4439嘉義三店),台式,雖然店開在家樂福賣場B1，但服務不減，環境也不錯，常點的就是原味牛肉麵和半筋半肉牛肉麵，賀呷!,0,0,3,3,0,4.0
三商巧福 (4439嘉義三店),台式,麵Q湯頭好，大賣場停車位置多,0,0,0,4,0,4.0
三商巧福 (4439嘉義三店),台式,空調太冷了，餐點還可以，座位多,0,0,0,3,0,3.0
大碗公冰·甜品 (嘉義興業店),甜點,用料大方分量多，1分甜品2個人享用剛剛好。平均價格80元左右，30人左右的座位，座位寬敞。綿綿冰上面還淋上了煉乳，整體甜度較高。巷道附近的衛生不佳飄有異味。對面是興嘉公園，停車很便利。,0,4,0,3,0,0.0
大碗公冰·甜品 (嘉義興業店),甜點,"Good 停車不易
有冷氣的話 就更棒囉",0,0,0,2,0,0.0
NU PASTA (嘉義新民店),歐美,食物不錯，空間明亮乾淨但略嫌擁擠，有時會讓人有些不適。算是小而美的義式小餐館。,0,0,0,3,0,3.0
NU PASTA (嘉義新民店),歐美,環境不錯，料理也好吃，騎車還算方便，但開車就不太方便，因為店是在轉角,0,0,0,3,0,4.0
NU PASTA (嘉義新民店),歐美,東西好吃，環境舒適！ 適合家人朋友同事聚餐的好地方~,0,0,0,4,0,4.0
元生補湯,台式,好吃，時隔2年，除了大雅路停車有些小不方便；餐點配湯盅約$380。跟我五年前開始陸續吃比起來，貴了100元上下，餐點還是好吃的。,0,0,0,2,0,4.0
義大披薩,歐美,味道可口分明，環境衛生極好，服務週到，聚會好去處.,0,0,4,5,0,4.0
噴水雞肉飯 (嘉義小雅店),台式,有自己專屬停車場，雞肉飯雞汁油比例完美，不會過鹹或甜，很多必點小菜，滷豆腐，紅燒肉，醉雞，高麗菜，滷筍絲，都很入味，魚皮湯好喝，都值得一試，下次就變老主顧,0,0,0,4,0,4.0
噴水雞肉飯 (嘉義小雅店),台式,"吃過多家雞肉飯，覺得這家有合口味，雞肉絲多汁不材，滷汁也調味的很不錯，另外油豆腐個人也覺得入味好吃。
其他小菜⋯「筍絲」中規中矩、「紅糟肉」偏油偏肥，個人沒有很喜歡。
另外，用菜環境寬敞、乾淨；也有提供免費停車場。",0,0,0,4,0,4.0
噴水雞肉飯 (嘉義小雅店),台式,有附設停車場（在餐廳對面），用餐環境寬敞，寵物友善環境很棒😍餐點好吃，但是份量有點小，不過配上小菜還是飽了😂第一次吃腰尺不會咬不動，竟然可以煮的嫩嫩的，很厲害。 …,0,2,0,4,0,4.0
噴水雞肉飯 (嘉義小雅店),台式,還不錯吃～小孩也很喜歡～停車比較不方便有點距離～,0,0,0,2,0,3.0
六扇門 (嘉義大雅店),台式,可能之前去過類似的店，所以感覺並不那麼驚喜了。店內的裝潢和服務都好，令人舒服，火鍋內容也會因所點的湯底不同而略有改變，雖然還是知道不是純天然的精燉，但口味還是不錯。飯是無限供應但有點硬，舀滷肉飯滷汁的湯匙感覺不太衛生，除此以外都很不錯。,0,0,4,2,0,3.0
六扇門 (嘉義大雅店),台式,當天點牛奶鍋 覺得還不錯喝 但我覺得可以加點東西 吃得比較飽   現場還有飲料 爆米花 冰淇淋吃到飽   咖哩鍋還好 比較重口味  因人而異 廁所很乾淨 但免費停車不好找 只能到有收費的停車場  有位女生服務人員很不錯 還幫我們確認那鍋是放哪裡的 沒有亂放,0,0,4,4,0,3.0
六扇門 (嘉義大雅店),台式,桌子沒擦乾淨，視覺感覺很差。也沒帶到位子上。需自己去找座位,0,0,2,2,0,0.0
貓皇后手作茶飲,飲料,"飲料都很好喝！！特調種類很多，最喜歡這家做的奶蓋飲品~
（菜單拍攝日：2022年4月",0,0,0,0,0,4.0
二姐紅茶冰,飲料,連鎖有品質管控的飲料店！停車不太方便,0,0,0,2,0,0.0
築間幸福鍋物 (嘉義忠孝店),台式,"就是築間的水準 肉很推薦 海鮮還行 明治冰淇淋冷度剛好很好挖
比秀泰店少了可爾必斯就是了 好想喝可爾必斯～～～～",0,0,0,0,0,4.0
築間幸福鍋物 (嘉義忠孝店),台式,築間的牛魯飯真的很好吃，麻辣鴨血不會太辣也不會死鹹味道不錯，蛤蜊都有吐沙乾淨，味道鮮美。築間必吃醬料牛B醬也真的是吃貨必備的調味料👍 …,0,0,0,0,0,4.0
築間幸福鍋物 (嘉義忠孝店),台式,"好吃😋新鮮、肉質好！
這家築間的服務生，比嘉義市大雅路上的，
優秀太多太多了👍 …",0,0,5,0,0,5.0
築間幸福鍋物 (嘉義忠孝店),台式,"每次來湯底都點鮮菇奶香鍋，很喜歡用這鍋底煮蛤蜊和其他海鮮。
菜很乾淨，海鮮也都很新鮮。",0,0,0,0,0,4.0
築間幸福鍋物 (嘉義忠孝店),台式,單論餐點口味還行，美味程度並沒有到非吃不可，不過很多地方待加強。內用的飲料杯居然是用紙杯，這在一個每人平均消費金額至少3、400元起跳的店家，實在不太適當。送餐時因為桌上空間較小，服務人員竟直接將盤子放在衛生紙的木盒上（盤底直接接觸到衛生紙）讓人覺得不太衛生。吃到一半時，盤裡食物明顯還沒吃完，服務人員就跑來問要不要收盤子，感覺不是很舒服。另外是加收10%服務費的部分令人困惑，因為並沒什麼讓人覺得很有感的服務，也沒有來問要不要加湯（只有點餐和送餐而已）。店裡環境相較其他火鍋店，空氣比較不流通，吃到後來覺得有點不舒服。且價格加上服務費後不太划算（不值這樣的價格），有點失望。,0,0,2,2,0,3.0
阿福牛排 (嘉義忠孝店),台式,"這真的是我吃過最好吃的牛排店了
服務，環境，餐點都超級棒的
想給個六星以上都不為過啊！ …",0,0,5,5,0,5.0
鳳壽司 (嘉義文化店),日式,餐點樣式多，食材新鮮，好吃。不方便停車，只供外帶，不提供熱湯。,0,0,0,2,0,4.0
早漢堡,台式,"擺盤不錯，價格也算合理；油煙味不會很重，且環境整潔。
奶茶很不錯喝，不過這次叫的煎蛋吐司裡面只夾了快十片（一般圓形片再切分三四條）小黃瓜，家人叫的薯餅蛋漢堡裡面只有掌心大的一片生菜，讓人蠻失望的……",0,0,0,4,3,4.0
碳口憩俱樂部,小吃,環境寬敞無油煙味！食物好吃😋會想再訪👍 …,0,0,0,4,0,4.0
一心牛排,台式,"玉米濃湯料多味美,菲力牛排軟嫩,雞排很棒,雙併分量十足,美中不足的是油煙較大",0,4,0,2,0,5.0
養心園素食,素食,餐點好吃，可惜不好停車,0,0,0,2,0,4.0
養心園素食,素食,好吃，服務也很好，停車不方便,0,0,4,2,0,4.0
美麗春天早午餐 · 精力湯果汁,健康餐,三明治清爽好吃，蔬果汁也有很多種選擇，店內不像一般早餐店油煙味很重，重新裝潢後感覺更舒適了。,0,0,0,4,0,4.0
舞桔早午餐,台式,乾淨清爽，小孩超愛這家的脆薯，可以一次吃三份。每家都有油煙味，這家的油煙沒有臭油耗味，很乾淨的清香，炸物自然好吃。紅茶是一般平價的紅茶，不推。,0,0,0,4,0,4.0
失眠燒烤,小吃,雖然有滿滿的綠植栽但是沒有小蚊子，整體感覺很特別,0,0,0,4,0,0.0
葉記牛肉館 (嘉義文化店),台式,"我覺得葉記的牛肉麵真的進步非常多,以往在噴水圓環的深夜食堂那邊,偶爾會吃到過老真的咬不動的牛肉!   現在幾乎沒有再遇過。

公明路門市的唯一缺點就是難停車,除此之外,內用的環境還算舒適...店內的用餐氣氛也蠻不錯的,老闆放的是英文老歌~ …",0,0,0,3,0,0.0
樸素齋坊 (嘉義林森店),素食,"菜色豐富，還不錯！
不好停車，可停車的地方有點距離。",0,0,0,2,0,0.0
串亦燒日式串燒 (嘉義保安店),日式,"好懷念姐妹小酌吃串燒的日子啊～
還有駐唱歌手現場live
整個氛圍很對🥺 …",0,0,0,4,0,0.0
串亦燒日式串燒 (嘉義保安店),日式,東西很好吃，烤肉串，乾煎虱目魚都好吃，有駐唱，小缺點，蚊子太多,0,0,0,2,0,4.0
Louisa 路易莎 (嘉義中山圓環店),歐美,"就在中山路圓環旁邊，對於走路/機車族
位置很方便！汽車族就稍不方便了!!
因為周圍都是紅線 不能臨停! 不過附近有停車場👍🏼 …",0,0,0,3,0,0.0
