Name,Label,Comment,NonImportant,portion,service,environment,price,food_quality
網路客棧,台式,"大概一個月前去住的，住宿24小時是目前住過的網咖中最便宜的（假日700），房間大，冷氣冷，睡得很舒服，電腦效能中等。
飲料好喝餐點也不錯",0,0,0,4,5,4
網路客棧,台式,不開玩笑真的便宜又住的舒服,0,0,0,4,5,0
網路客棧,台式,玩電腦或是休息看影片， 平價用餐的好的場所。,0,0,0,0,4,0
網路客棧,台式,店長跟女性店員很親切熱心 設備還算可以畢竟營業很久了 ，建議椅子可以換新 餐點價格更親民點或者更多套餐優惠可選擇 ，待客態度已經完勝其他門市了 加油,0,0,4,3,4,0
網路客棧,台式,網速還可以，收費假日稍貴,0,0,0,0,2,0
高關紅豆餅 (嘉義家樂福),甜點,"像是精品等級的紅豆餅，
價錢雖然不同一般紅豆餅的低廉，
但一分錢真的一分貨🥺 …",0,0,0,0,3,5
高關紅豆餅 (嘉義家樂福),甜點,嘉基的紅豆餅難吃又很貴，1個25，其他的紅豆餅也才7元而已，不建議您去買,0,0,0,0,2,2
高關紅豆餅 (嘉義家樂福),甜點,紅豆餅價格稍高，但Size很大一顆,0,4,0,0,2,0
三商巧福 (4439嘉義三店),台式,"用餐環境乾淨明亮,寬敞舒適,牛肉麵單價不算高,可以來店逛逛..",0,0,0,5,3,0
三商巧福 (4439嘉義三店),台式,點了牛肉炸醬麵 75$還蠻便宜的 私心覺得調味有一點鹹,0,0,0,0,4,0
三商巧福 (4439嘉義三店),台式,價位合理，用餐環境整潔,0,0,0,4,3,0
小時鮮果茶飲/現切水果現打果汁,健康餐,"偶然經過的飲料店（查評價雖然少但評分很高），就去試買，飲料種類非常多，人員也很熱心～買完喝還會問甜度可不可以～
買了一杯木瓜牛奶60、鳳梨牛奶70，都做半糖，甜度不會死甜，味道也很濃郁，鳳梨牛奶喝起來酸酸甜甜很適合夏天～
整體價格對得起地點及飲料，是之後有機會會再回訪的飲料店。",0,0,4,0,3,4
小時鮮果茶飲/現切水果現打果汁,健康餐,自取便宜。但真的不好喝,0,0,0,0,4,2
大碗公冰·甜品 (嘉義興業店),甜點,好吃一直吃，料多價格還行👌🏻 …,0,4,0,0,3,4
大碗公冰·甜品 (嘉義興業店),甜點,"價錢對於南部也算平價
而且好大一碗，三個人吃一碗感覺也夠
算是很划算",0,4,0,0,4,0
大碗公冰·甜品 (嘉義興業店),甜點,"便宜實惠 味道也好
不過新的活益乳酸多 不推薦外帶與吃慢的人
融化後會有白白的牛奶沉澱物 視覺上比較不好 …",0,0,0,0,4,4
大碗公冰·甜品 (嘉義興業店),甜點,"夏日消暑聖品，便宜又大碗
真是店如其名",0,4,0,0,4,0
大碗公冰·甜品 (嘉義興業店),甜點,店內用餐環境乾淨明亮，價格合理。,0,0,0,4,3,0
大碗公冰·甜品 (嘉義興業店),甜點,"剉冰多料四處掉、價格稍貴＼
建議把碗公用寬些免得浪費食物因為沒甚麼料在掉就吃不了多少",0,0,0,0,2,0
大碗公冰·甜品 (嘉義興業店),甜點,人朝還是蠻多的，價錢還算是公道,0,0,0,0,3,0
大碗公冰·甜品 (嘉義興業店),甜點,紅豆湯稍貴，否則量要多一些,0,0,0,0,2,0
NU PASTA (嘉義新民店),歐美,好吃，價格實惠，店員也很nice，有機會會再來的,0,0,4,0,4,4
NU PASTA (嘉義新民店),歐美,"東西爆幹好吃，上廁所屁股很痛以為死定了，居然還有附濕紙巾！！！良心推薦！！！

以一頓200～300的價位來說，不到cp值高，但絕對值得！好吃、份量大、現做的速度算快！",0,4,4,0,3,5
NU PASTA (嘉義新民店),歐美,"外帶或內用服務都很不錯，紅茶超好喝。
但價格偏貴，份量小，整體下來感覺有些不足",0,2,4,0,2,5
NU PASTA (嘉義新民店),歐美,價格實惠，又美味，很好吃，值得推薦來吃~讚！,0,0,0,0,4,4
NU PASTA (嘉義新民店),歐美,"太～好～吃～啦～～～～
用餐環境乾淨又衛生！
餐點價格真的平民！
真心推薦…….",0,0,0,4,4,5
NU PASTA (嘉義新民店),歐美,"之前經常帶小朋友去享受, 但工作人員好像經常換,  一開始覺得口感還不錯, 可能味覺膩了, 覺得還好,  也可能一直以來菜色都一直沒有變化, 也都是一條龍的方式 , 所以價格上普通, 但再去的意願卻降很多很多, 也可能位置的擺設有點擠, 停車的大問題, 還有最近有觀察到, 人真的變少了, 也可能是疫情的關係,  偶爾吃, 可能味蕾較不會消失, 不然一成不變的東西很難持久",0,0,0,2,3,3
NU PASTA (嘉義新民店),歐美,外帶義大利麵超便宜，適合平時在家叫外賣，內用座位不適合多人聚餐，偏家庭或情侶用餐，內用品項和價格與外帶不相同，選擇比外帶多很多，斜對面約有20左右停車位，對面重慶路整排路邊均可停車，但因為附近都是餐廳，車位仍不算好找,0,0,0,0,5,0
NU PASTA (嘉義新民店),歐美,服務態度好，餐點味道濃郁香味足，重點便宜量足,0,3,4,0,4,4
NU PASTA (嘉義新民店),歐美,服務不錯也很親切，價格合理，環境也很優，只是咖咖單一，毫無選擇空間，不過還是會再去,0,0,4,4,3,0
NU PASTA (嘉義新民店),歐美,便宜、好吃、上菜快速、環境整潔，不管是朋友還是家庭聚餐都超級適合,0,0,4,4,4,4
