Name,placeID,address,location,rating,userRatingTotal
阿娥豆漿豆花,ChIJcaJEVjCUbjQRrjAjfy2-be8,嘉義市東區延平街233號,"23.4767316,120.450726",4.2,4299
義式屋古拉爵 嘉義遠百店,ChIJ2wHYmCaUbjQRuv3GZ7rBVHo,嘉義市西區垂楊路537號,"23.472695,120.44116",4,828
焦家好味道,ChIJaZRCpjGUbjQRk0JZdpwbdIE,嘉義市東區文化路146號,"23.4784175,120.4498519",3.6,852
西堤牛排嘉義文化店,ChIJHxJkiDGUbjQR6xyvbD83s-Y,"嘉義市2F, No. 155-70號, 文化路, 西区","23.480464,120.4493605",4.7,6361
嘉義噴水雞肉飯中山店,ChIJQS5WjjGUbjQRgHVFSj2rv4Q,嘉義市西區中山路325號,"23.4797144,120.4491358",2.8,4755
林聰明沙鍋魚頭,ChIJec9IdTGUbjQR3flv4mZlLV0,嘉義市東區中正路361號,"23.4787729,120.4502528",4.1,19589
阿岸米糕,ChIJzwRM7DCUbjQRXTNBFy0TaUY,嘉義市東區民族路420號,"23.4762222,120.4507972",4.3,2903
街角161法式餐廳,ChIJ0Yci9IKWbjQR5_5kFjZCLes,嘉義市西區友愛路161號,"23.4808537,120.4338875",4.3,551
豆奶攤（文化路總店）,ChIJo_aUpTGUbjQRYE-Jsns31gA,嘉義市西區文化路103號,"23.4784225,120.4496866",3.4,1666
民主火雞肉飯,ChIJ6ywLJDaUbjQRVGXMs5vSlAE,嘉義市東區民族路149號,"23.47660819999999,120.457432",4.1,9250
林聰明沙鍋魚頭 光華店,ChIJd7jRCjGUbjQRcU7Oo_gYgP0,嘉義市東區光華路122號,"23.4788271,120.451804",4.1,5617
嘉義林家當歸鴨小吃店,ChIJD-DmpRuUbjQR0UzqZ0D3wic,嘉義市西區民生南路457號,"23.4585386,120.443522",4.1,334
品田牧場 嘉義國華店,ChIJW1giHjKUbjQRpzoZNuv1Q7c,嘉義市西區國華街212號,"23.4804479,120.4484802",4.8,4025
小潘作壽司,ChIJK-7XwUiUbjQRYJ8WqhqNm-Q,嘉義市東區彌陀路246號,"23.4737393,120.463095",4.1,239
心宜草堂,ChIJvatRakqUbjQRG-F2GCiyRu8,嘉義市東區民國路159號600,"23.4796792,120.4601819",4.4,894
Daisy的雜貨店,ChIJ9-a0iMqVbjQRqrlXj3zFgfQ,嘉義市東區維新路73號,"23.48162019999999,120.4586921",4.6,434
劉里長雞肉飯,ChIJFblrGjSUbjQRVPCOl2blsx0,嘉義市東區公明路197號,"23.4799118,120.454081",3.7,8158
