Name,Label,Comment,NonImportant,portion,service,environment,price,food_quality
網路客棧,台式,"熊貓 07:30下單一路延時
最後蹦出一個預計時間09:00
鬼才信你會準時 我就直接找客服取消訂單了 …",0,0,2,0,0,0
網路客棧,台式,餐點好吃，店員的態度不錯，只是設備的部分就普通了點,0,0,3,0,0,4
高關紅豆餅 (嘉義家樂福),甜點,買個紅豆餅一肚子氣，店員臉超兇的，給發票直接丟在桌子上,0,0,1,0,0,0
高關紅豆餅 (嘉義家樂福),甜點,結帳時說發票想要使用載具卻不給刷，不懂為什麼店員這麼不注重環保呢！,0,0,2,0,0,0
高關紅豆餅 (嘉義家樂福),甜點,店員臉超級臭，只是詢問發票可不可以使用載具，另外希望店家可以聽進去顧客的意見，不要每次都敷衍了事,0,0,1,0,0,0
高關紅豆餅 (嘉義家樂福),甜點,之前就去買過，服務態度就不好，昨天再次去買，那位小哥態度依然差，問話都很不情願；愛理不理！很想跟他說：我沒欠你會錢餒！老～闆，是不是你給的薪水太少了！（還是他就是老闆）才會這麼囂張！,0,0,1,0,0,0
高關紅豆餅 (嘉義家樂福),甜點,"詢問服務人員要蛋燒，一副不太想做，跟我說要等25-30分鐘，我說好，看你表情又更僵，明明我們先到收銀台，還找其他藉口，你不想做直接說，我們不會勉強你，但態度真的差，成全你不想做。
之前在其他門市都說蛋燒要等15分鐘，也沒其他客人等，為何這間時間要這麼久？🤔技術不好嗎？還是不會做？😅😅 …",0,0,1,0,0,0
高關紅豆餅 (嘉義家樂福),甜點,"12/09今天購買態度差
12/12家人想吃再次購買，不然看到同位男店員完全不想買，購買完才知道女店員會跟男店員態度天差地別，補兩顆星給女店員!",0,0,2,0,0,0
高關紅豆餅 (嘉義家樂福),甜點,後來先給，就要你等。服務態度差勁,0,0,1,0,0,0
高關紅豆餅 (嘉義家樂福),甜點,"男店員態度回話真的令人無言
建議直接請女店員，不要男店員！！！",0,0,1,0,0,0
高關紅豆餅 (嘉義家樂福),甜點,餐點現點現做，很新鮮，等待時間小胖還拿到店員哥哥畫的人像畫，整個超開心😃店員人超好，小胖說哥哥很厲害👍🏻 …,0,0,5,0,0,4
三商巧福 (4439嘉義三店),台式,餐點都有維持水準，但連平日店員人力都不足以應付滿場的客人，用餐體驗不是很好。兩個外場店員已經盡力東奔西跑，還是來不及收桌，客人要不自己收，不然就等10分鐘以上，店員再以特技方式收拾那些陶瓷碗盤跟杯子。廚房兩個人，入座等餐要等前面10組出完，大概半小時。櫃台點餐之餘還要進來幫忙，有人來再請客人點餐稍候。看得出來每個店員都是老闆燒了不少香才請到的，再忙碌態度都還很好，請老闆珍惜好嗎？,0,0,2,0,0,3
三商巧福 (4439嘉義三店),台式,"櫃檯員工明顯訓練不足
除了我們之外的客人
還要每桌一一詢問餐點是否正確 …",0,0,2,0,0,0
三商巧福 (4439嘉義三店),台式,員工人手不足，午餐時間尖峰時間，櫃臺人員還要兼其他工作忙來忙去的！而排骨飯的排骨越來越小片了啊！我們第一次光顧，以後也不會再去了啊！,0,2,2,0,0,0
三商巧福 (4439嘉義三店),台式,點了牛三寶細粉後等了40分鐘才拿到餐點，號碼牌20號，結果35號都已經拿到餐點在吃了，真的很無言，餐點人員說要處理可是也沒有加快腳步出餐,0,0,2,0,0,0
三商巧福 (4439嘉義三店),台式,"送餐號碼牌直接收走，連告知都沒有，不尊重顧客。
餐點沒來，居然是懷疑顧客，這種服務態度真是令人歎為觀止，十分佩服。",0,0,1,0,0,0
三商巧福 (4439嘉義三店),台式,櫃台點餐人員不耐煩上餐還臭臉不會在去第二次--->黑名單,0,0,1,0,0,0
魚池新語 (嘉義興業店),飲料,"點餐服務需要再加強！！
店員的服務讓我不想去",0,0,2,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,"三色布丁看圖片應該是雞蛋巧克力跟白色豆花,結果沒有白色,送來第三樣是仙草,我另外就還有點仙草了...害我吃仙草吃到很撐==還有上禮拜用🐼點餐,一碗要135的草莓綿綿冰,結果送來香蕉的,之後電話講好下次補還給我們,備註打”欠草莓”他們會告訴所有員工記得,結果今天一樣再點草莓綿綿冰,後來送來還是一樣明顯正常量,根本沒有另外補給我們🙄️ …",0,0,2,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,"內用寫單子拿給店員時，後面突然一個阿姨大喊他要的冰品，店員就先用她的...這樣我們寫單子排隊的不就是傻子？
雖然冰品不錯吃可是這樣的態度真的很不好！
盛裝冰品的碗希望可以大一點不然料都超出碗了很容易掉，料真的蠻多的！",0,4,1,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,就一個客人還要等您忙完內務再結帳？,0,0,2,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,"有一個綁雙馬尾的女店員態度很差🙃
因為單子上面打的東西跟我要的是不一樣的 我怕我說錯還是他打錯 所以我只是問她一下 態度就很差的跟我說 啊我們品項上面就沒有這個啊
請問我是欠你多少錢 有需要這麼兇嗎？？？？ …",0,0,1,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,"1叫外送，電話沒聽清楚，還叫客人自行吸收。
2回撥電話，還沒打算表示歉意，理直氣壯是甚麼樣 。
3產品也沒表示清楚，跟店家反應也沒打算要改。 …",0,0,1,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,"服務態度算是及格
店內桌數夠
但位於路口，所以沒有任何停車位置，勉強可放幾輛機車 …",0,0,3,2,0,0
大碗公冰·甜品 (嘉義興業店),甜點,店員臉超臭，好像心不甘情不願面對客人，裝冰的容器本來是盤子，不知道幹嘛換成碗？又把冰裝成尖尖的，上面的料很容易掉出來，桌子也不乾淨黏黏的，寧願吃北興榕樹下也不要來這裡受氣,0,0,1,2,0,0
大碗公冰·甜品 (嘉義興業店),甜點,"此次評分是與雲林麥寮店相比較的，份量比較少。而且牛奶冰口感似乎沒有那麼綿密。麥寮比較好吃😊
當時的店員戴著手套未脫下直接拿紙鈔找零錢，讓我很傻眼。 …",0,2,2,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,態度差 送錯還需要我們客人自己想辦法 還問我們到底要怎樣^_^ 打電話還拒絕接電話^_^,0,0,1,0,0,0
大碗公冰·甜品 (嘉義興業店),甜點,服務差，解決方式有問題,0,0,2,0,0,0
NU PASTA (嘉義新民店),歐美,餐點好吃，但要等待許久，服務生回答冷漠，氣氛很好，服務生可以熱情一點，感覺有點在偷懶…待加強，希望下次去可以有所改變,0,0,2,0,0,4
NU PASTA (嘉義新民店),歐美,店員態度不佳，臉超臭，辣味炸雞義大利麵，竟連麵都是超辣，令人咽不下口。,0,0,1,0,0,0
NU PASTA (嘉義新民店),歐美,沒有再三確認餐點，等了一個小時 最後等到酥皮濃湯沒有做....餐點沒有做 ....員工教育訓練有待加強...,0,0,2,0,0,0
61手作茶 (嘉義宣信總店),飲料,吃了很多次，就今天熊貓自取上面已經寫參點好了到了之後還是在弄，感覺像烤盤不夠熱，也沒一開始講大概還要等多久，傻傻的多等了七八分快趕不上火車了只好說沒關係不用繼續弄了，成品兩邊大概七八成都沒黏起來，嗯然後火車也錯過了，大學四年買飲料跟後來出雞蛋糕我跟室友買了好幾次沒這麼不爽過==,0,0,2,0,0,0
鮮茶道 (嘉義玉山店),飲料,"早上買了杯鳳梨清茶，喝了幾口發現杯子長頭髮...,一根長長的頭髮一半被封在杯裡，一半留在杯外，因為已經離開並到外地，剛回嘉想說再去買個飲料順便反應一下，也把早上的那杯飲料拿給店員，店員沒多說什麼把飲料收走，然後幫我結單，兩杯珍奶四杯四季春，店員收了我230元，後來應該是自己發現收錯忘了一杯是送的，所以退了我25元，在回家的路上，越想越不對，一杯四季春35元欸，怎麼才退我25元。
忙中有錯就算了，但是一錯再錯就不好了。",0,0,2,0,0,2
鮮茶道 (嘉義玉山店),飲料,"每次都有特別備註東西 但每次都好像沒看到一樣 連顧客的需求都沒當一回事
要不是一定要給一顆星才能評論 我連半顆都不想給",0,0,1,0,0,0
鮮茶道 (嘉義玉山店),飲料,電話還沒講完就叫客人自取 還直接問旁邊外送員要不要送？,0,0,2,0,0,0
鯛著走鯛魚燒,甜點,裡面的店員竟然沒戴口罩！是不知道現在是防疫期間嗎😡 …,0,0,2,0,0,0
元生補湯,台式,明明還未到打烊時間，距離打烊時間還有半小時，顧客還表示打烊前就會用完餐離開，就不願讓客人內用，且門口也未告示提早半小時不願讓顧客內用。,0,0,2,0,0,0
元生補湯,台式,店員態度令人不敢恭維。一次店,0,0,1,0,0,0
元生補湯,台式,養身好料理，湯品大推薦！真的好吃，且上菜速度不慢，家庭聚餐也可以，但缺點是空間較狹窄。,0,0,3,2,0,4
橘町搖搖 (嘉義玉山店),飲料,店面前的白線路邊店家看到你停確沒有消費就會趕你走，態度非常好下次不敢再停在這間店前了。公有道路當作自家的,0,0,1,0,0,0
三味蚵仔煎,台式,"新開。所以人很多。用餐時間會等比較久。如果外帶建議鮮打電話訂會比較快

服務態度還行。男生都還蠻客氣的。櫃檯阿姨可能有點累了 …",0,0,3,0,0,0
三味蚵仔煎,台式,"我喜歡 蝦捲便當，菜色豐富
尤其荷包煎蛋❤️❤️飯量也足夠
🙏耐心等候是常態至少需時20分鐘😭 …",0,3,2,0,0,0
三味蚵仔煎,台式,"不要看到人很多就以為多好吃，純粹就是動作非常慢！點餐排20分鐘，上菜再等30分鐘
價位很貴（甚至高過很多北市地區），口味中下。
真的非常後悔被人群騙進去踩大雷😩 …",0,0,1,0,2,2
三味蚵仔煎,台式,因有小孩喜歡的蛤蠣粄條，已經來用餐兩次了，兩次的感覺都不錯喔，蛤蠣湯頭滿鮮甜的，而店員雖然相當的忙碌，但都客客氣氣的，出餐也不慢，這次另外試了蚵仔滷肉飯，我個人覺得滷肉湯汁稍微偏甜了點，下次想再試試別的菜色，整體而言會繼續回訪喔,0,0,4,0,0,4
三味蚵仔煎,台式,"店員還不熟操作  要等十幾二十分鐘 才做好
虱目魚便當 130 只有一半的虱目魚 加豆芽菜 白菜 豆腐 還有飯
味道還好 虱目魚有點少 …",0,2,2,0,0,0
三味蚵仔煎,台式,店家都已電腦化，結果還是遺漏餐點，以為粥要煮比較久，等了20多分鐘提醒店家，店家也不知道出過餐否，雖然盡快補上餐點，但還是影響整體用餐感受。,0,0,2,0,0,0
三味蚵仔煎,台式,"煎虱目魚等了25分鐘，因為趕時間要走所以想退餐，店家說快好了要出了，但看起來根本還沒做？然後又等了五分鐘以上？希望沒做可以直接退費就好了

餐點味道還不錯，但可惜蛤蜊麵蛤蜊味幾乎沒有⋯ …",0,0,2,0,0,3
三味蚵仔煎,台式,要不是一定要有星，不然一顆星都不想給，價格偏貴就算了，比我們晚來的客人都拿到餐了，我的餐都還沒來，外場人員的經驗真的該改善，速度真的很慢，整體流程都很不順暢！,0,0,1,0,2,0
三味蚵仔煎,台式,1/1外帶從點餐到拿到餐食，等了一個小時，也沒拿到贈送的小菜，店家態度很差,0,0,1,0,0,0
三味蚵仔煎,台式,速度真的慢希望改善並且熱情一點服務,0,0,2,0,0,0
晴陽冰果室,甜點,好吃⋯⋯老闆娘也很客氣喔！,0,0,4,0,0,4
豪哥豆花,甜點,連一顆星都不想給、還沒吃就一肚子火！中午現場買了兩碗鮮奶仙草豆花外帶、服務人員從結帳開始到裝豆花配料一直都沒帶口罩、好意提醒她怎麼沒帶口罩😷，竟然連回答都不回、一臉怒氣、又臭臉問我要下一個配料...口罩不戴又在食材上講話、在這疫情期間、服務人員沒有任何防護措施、這對客人來說真的不敢領受！老闆如果有看到這樣的狀況，請改善這問題！問題是豆花再怎麼好吃，我也不願意再去買！服務態度真的很差！ …,0,0,1,0,0,0
豪哥豆花,甜點,這家什麼都好就是店員態度很差 然後真的建議點餐方式可以改成畫單之類這樣大家都不麻煩👌 …,0,0,2,0,0,0
豪哥豆花,甜點,"進門的時候裡面只有兩組客人
在櫃檯站了一陣子沒有人理我
我就往工作檯走去 …",0,0,2,0,0,0
豪哥豆花,甜點,態度超級差 東西不夠還罵出髒話（靠北）是怎樣？ 外籍的也不用這樣吧 感覺超級差,0,0,1,0,0,0
豪哥豆花,甜點,"連一顆星都不想給
豆花很沙不好吃
店員服務態度很差 …",0,0,2,0,0,2
豪哥豆花,甜點,"其他員工算錯錢，結帳的人把脾氣帶給客人！員工脾氣不好！外帶這麼小碗，應該提前告知吧？
第一次去，一整個想要求退錢",0,0,1,0,0,0
豪哥豆花,甜點,"前一天點花生豆花沒給豆花，說要給一補一份新的，結果真的就只得到花生呢？！
櫃檯服務生一直鬼打牆又不耐煩，點了一杯豆漿跟他說還有一個昨天說要補的餐點，一直要跟我收兩份的錢，最後跟另一個服務生講才要退我錢，然後拿到的時候真的傻眼，補一份新的原來是花生的部分？！！",0,0,1,0,0,0
豪哥豆花,甜點,外送單不想做可以關掉，一直做現場客,0,0,2,0,0,0
豪哥豆花,甜點,料任選不就代表隨便選 不能重覆怎麼不事先寫明 講個話態度差甚麼 不想賣可以不要開店賣啊,0,0,1,0,0,0
豪哥豆花,甜點,"店員態度就是欠錢臉，這就算了，買燒仙草五配料自選，仙草，湯圓劃掉，脆圓，芋泥球沒了，蒟蒻，杏仁不能加，紅豆，薏仁是冰的料
問說剩什麼可以加，店員說，我剛剛跟你說了。
瞬間不知道燒仙草有甚麼配料可以選了……",0,0,2,0,0,0
豪哥豆花,甜點,"櫃檯小姐，客人不懂菜單上的商品多問一下都沒耐性，如果當下是客人多，妳忙可以體會，但就2.3桌客人沒必要這麼不耐煩吧！
其他店員態度都很好啊！",0,0,2,0,0,0
豪哥豆花,甜點,"是不太懂男店員態度在差甚麼
是老婆跟人跑了還是股票輸錢？
講話態度不用那麼拽 …",0,0,1,0,0,0
豪哥豆花,甜點,"豆花是還不錯吃
但速度很慢，超級慢，有一次晚上總共點四碗，有兩碗一模一樣，但卻一次弄一碗，裝一個料看一次單子？？？四碗裝了十幾分鐘，順便說一下前面沒有別的客人喲
汽車不好停車，要走一小段路
不知道是裝太滿還是怎樣，買了兩次塑膠袋裡面都會有湯汁，碗都黏黏的",0,0,1,0,0,3
豪哥豆花,甜點,"其實要做外送單或是客戶櫃檯來要接待...個人是可以理解，但也別忘了已經買完單的客戶，今天等一碗豆花等了半小時真的有點誇張，隔壁兩桌後面才來的都點完吃完離開了，我的也一起遺忘了...
兩顆星是給因為天氣滿熱，冷氣還滿涼",0,0,1,0,0,0
豪哥豆花,甜點,貼了湯圓上市想說點一碗吃，結果說是湯圓不夠要煮；問點餐的藍髮姑娘要等多久，回答是「要等廚房煮」🤔（臉還超臭），請問是要等到晚餐嗎？無言........原本是忠實顧客的，從此從口袋名單除名🤬 …,0,0,1,0,0,0
豪哥豆花,甜點,去2次都沒好的觀感，動作慢、還報錯做好的豆花餐點名稱結果我在櫃臺前那裡乾等，然後為什麼我點熱的豆花結果變成冰的，然後我沒說要無糖最後卻是無糖的....不會在去了。,0,0,1,0,0,0
豪哥豆花,甜點,"那位頭髮顏色染的很奇怪，身材胖胖的女生
不舒服請回家休息好嗎？
肚子餓就趕快吃飯好嗎？ …",0,0,1,0,0,0
豪哥豆花,甜點,不錯吃 但每次來的服務態度都很差 臭臉 口氣很差 好像欠房租幾個月一樣 所以久久才願意來一次 份量也很少 不知道為什麼都可以請到晚娘臉的員工 是不是老闆太苛刻？,0,2,1,0,0,0
豪哥豆花,甜點,一顆星都都不想給，晚班女店員態度差到爆，好像欠她幾百萬，以後再也不會再去了，爛爆了,0,0,1,0,0,0
豪哥豆花,甜點,態度差 動作很不利落 問事情很不耐煩 講話很小聲根本聽不到,0,0,1,0,0,0
豪哥豆花,甜點,"杏仁沒什麼味道，鳳梨還可以。
重點環境髒亂，桌子也沒在擦，跟工讀生說了，還愣在櫃檯看著我，很差的一次體驗。",0,0,2,2,0,3
豪哥豆花,甜點,明明就還30幾度高溫，冷氣只開到九月底，。而且桌子還要客人自己搬，有這樣的服務嗎？,0,0,2,2,0,0
豪哥豆花,甜點,晚上兩個女店員態度真的兇   對每個人講話都好像欠她們錢   吃到一半還在後面邊收東西邊罵三字經  整間聽得一清二楚,0,0,1,0,0,0
豪哥豆花,甜點,看到新店想說吃看看，結果口味普普就算了，服務生態度也不佳，最多一顆星,0,0,2,0,0,3
豪哥豆花,甜點,味道還行，但是環境髒亂，人閒著也不來收上一桌客人的碗盤，餐點上了請他來收也當沒聽到。,0,0,2,2,0,3
豪哥豆花,甜點,"好不好吃是一回事，不開取件號碼，送錯桌，還不承認，讓人一直等，感覺很差。
服務態度很不好！",0,0,1,0,0,0
豪哥豆花,甜點,"一進門員工就在上下打量客人
有夠沒有禮貌
員工態度跟素質實在有夠差",0,0,1,0,0,0
豪哥豆花,甜點,點餐速度慢了點，漲價後有點貴！,0,0,2,0,2,0
豪哥豆花,甜點,員工訓練待加強，東西是好吃，但不想再花錢受氣。,0,0,2,0,0,4
白巷子 (嘉義上海店),飲料,"明明知道飲料是要讓客人搖過再飲用
但封膜一搖就破？真的要加油欸",0,0,2,0,0,0
白巷子 (嘉義上海店),飲料,"非常體貼友善的店員
我是買金萱烏龍及要了一杯水的客人，謝謝妳",0,0,5,0,0,0
白巷子 (嘉義上海店),飲料,"這麼冷的天
來杯熱的紅茶拿鐵（真的好好喝👍🏻
店員笑容滿分
員工訓練的很棒哦！ …",0,0,5,0,0,5
白巷子 (嘉義上海店),飲料,白天一個戴眼鏡皮膚白白的店員服務親切,0,0,4,0,0,0
白巷子 (嘉義上海店),飲料,動作超慢不知道在幹嘛==,0,0,1,0,0,0
士林真味廣東粥 (嘉義民生店),中式,會強迫外送人員違反公司規定代買代墊顧客私下買的餐點，外送人員若是不願意就不給餐會態度惡劣且強硬的要求外送人員轉單 2022／11／22,0,0,1,0,0,0
噴水雞肉飯 (嘉義小雅店),台式,"人很多，但明明菜單都劃2份（我們有10個人），卻都只上1份，詢問上菜人員還問「確定要兩份嗎？」…我劃2份是劃心酸的嗎？

結帳依菜單上劃數量結帳，上菜人員這樣問不是很奇怪？客人那麽多，到時候結帳有誤要自認倒楣嗎？ …",0,0,2,0,0,0
噴水雞肉飯 (嘉義小雅店),台式,"服務人員婦女111/10/05晚上5點，現場沒什麼客人，看到客人有小孩子，也不會幫忙拿幼兒座椅。重點她靠著餐台雙手放在胸口沒事幹！一副就是要吃不會自己搬的表情看著客人。服務態度真的是很糟糕。我還故意在她面前喊我老婆給她聽：妳是沒看到我在搬椅子嗎？這位服務人員還真的當沒聽到耶…
但東西是真的好吃、便宜。兩顆星是給料理的。不然一顆星也…",0,0,1,0,4,4
