Name,Label,Comment,NonImportant,portion,service,environment,price,food_quality
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,餐點份量足，自助吧有汽水機跟無糖飲料、果汁可選擇，佐料區佐料也夠，另外還有咖啡機及冰淇淋，最加分的還是屬有雞絲麵跟蒸煮麵可以任意選擇自己取用，店內用餐環境明亮乾淨清爽，店家服務態度客氣親切，值得推薦！,0,1,1,1,0,0
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,老店新裝潢，還是一樣濃郁的好味道👍便宜美味，嘴饞麻辣時一定要來上一鍋😊 …,0,0,0,0,1,1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,"一直都很喜歡來吃老先覺，不管是環境或是價格與食物，都很符合我們家的喜好，家裡都兩三張會員卡了😆
不過之前都是直接過來，這次因為人數較多就先打電話訂位了，也幸好有先訂位，不然我們今天大概就吃不到老先覺了><
今天用餐體驗很好，食材、環境一直都很喜歡，額外的小確幸是座位的安排也很舒適，我們七個人用餐，卻一點也不覺得座位很狹窄，心情愉悅❤️ …",0,0,0,1,1,1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,"好吃的火鍋，從平價到不同湯頭跟各種加價購料都任君挑選。
不適合團體聚餐，但1～4位好友家人吃小火鍋還不錯。
可惜不好停車，但旁邊約走路500m就有付費停車場。",0,0,0,0,0,1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,"酒釀鮮茄鍋還是很棒
但裡面的菜量真的很少，如果不是很餓又想吃鍋這個可以
單點的高麗菜一盤$25裡面才幾片葉子，虧現在高麗菜價那麼低",0,-1,0,0,-1,0
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,雖然說是因為竽頭丸才去吃的，但是，該月辦活動與整年度VIP優惠有什關係？那乾脆說每年11月VIP不能用就好了！整個有被騙的感覺，而且，女服務員服務態度要加強，應該以後不會去吃了！,0,0,-1,0,0,0
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,"以為裡面有鴨血～後來發現沒有！蠻失望～
這是胃口小的才會覺得剛剛好！
吃起來滿還可接受～",0,-1,0,0,0,0
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,"相較於其他平價小火鍋來說
湯底更為多樣有特色，也比較好喝
火鍋料一般，芋頭丸子好吃推推 …",0,0,0,0,0,1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,麻辣湯頭很香很喜歡，搭配豆乳沾醬絕配，每想到這個香就會再來吃～,0,0,0,0,0,1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,"一代店的價位跟菜單
整體CP值還算不錯
白飯跟飲料冰淇淋自取
兩倍肉就吃的蠻飽的",0,1,0,0,1,0
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,"服務人員都親切
東西是不難吃
推龍骨鍋、梅子泡菜，好吃~
只是辣醬太鹹，一點都不辣😂 …",0,0,1,0,0,1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,雞絲麵、意麵無限吃😋 …,0,1,0,0,0,0
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,湯頭不錯，裝潢也更新了。建議廁所可以更新或美化一下，更加分！,0,0,0,1,0,1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,牛奶鍋湯頭比朴子店的還淡 飲料是麥茶跟柳橙汁 都不好喝,0,0,0,0,0,-1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,"加40元，肉真的變很多
醬料好吃
內用白飯、飲料免費供應，選冬粉還是可以加白飯",0,1,1,0,0,0
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,麻辣湯底非常好吃！配油條最棒了！,0,0,0,0,0,1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,各方面都不錯，環境舒適，冷氣超強，店家用心經營，二代裝潢完應該沒太久，食物就老先覺平均水準以上,0,0,1,1,0,1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,"火鍋很好吃
湯頭很棒
家裡的人很喜歡",0,0,0,0,0,1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,環境乾淨，食材新鮮，服務人員貼心,0,0,1,1,0,1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,108元昆布鍋，就吃的好飽,0,1,0,0,1,0
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,老闆人很好，服務人員有親切感,0,0,1,0,0,0
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,這算中價位火鍋，跟石x鍋同級，又比三個老媽好吃，料也高級點，湯頭多樣，特別喜歡他家的手工丸，但價格是一倍以上，值不值得，自己感覺，我個人還是喜歡來這裡吃,0,0,0,0,1,1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,有重新（裝黃）台語~飲料變多了~建議咖啡旁邊要放糖有些人喜歡喝甜一點的~價錢有點偏高但還可以接受~好吃~,0,0,0,1,-1,0
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,鍋物好吃，打卡送好吃小菜,0,0,0,0,0,1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,環境很可以，有冰淇淋跟飲料，我會再來的,0,0,0,1,0,0
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,好吃、環境乾淨、又有飲料、冰淇淋自助， CP值超高,0,0,1,1,1,1
老先覺功夫窯燒鍋 (嘉義民生MiNi店),台式,晚上十點離峰時段叫外帶，十分鐘後到現場收了錢才開鍋開始煮，我電話先叫就是希望到場拿了就走，如果不給客人電話叫外帶一定要當場現點現做就要先說，仁愛店就不會這樣，要不是仁愛店今天十點就關了我才不會選擇民生店，以後不管外帶內用絕對不考慮民生店。,0,0,-1,0,0,0
